Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000272106,AL691432.2,10,-0.7909,8,-1.0562,5,-1.6876,21,0.36884,21,0.93080
ENSG00000197530,MIB2,36,-0.2986,47,0.12555,33,-0.3910,41,-0.0741,47,0.26805
ENSG00000248333,CDK11B,91,0.94937,78,0.57004,75,0.50597,36,-0.6372,39,-0.9344
ENSG00000189339,SLC35E2B,16,0.24502,19,0.43474,6,-1.3086,10,-0.4831,15,0.12535
ENSG00000008128,CDK11A,98,2.37963,29,-0.1977,20,-0.7711,16,-1.1001,17,-1.5998
ENSG00000215790,SLC35E2A,7,-1.5513,19,-0.0485,17,-0.2510,27,0.50569,23,0.56401
ENSG00000008130,NADK,14,-0.2932,9,-0.8912,21,0.34614,14,-0.3471,19,0.38032
ENSG00000078369,GNB1,168,-1.5504,484,0.17029,404,-0.1143,513,0.26441,507,0.54538
ENSG00000187730,GABRD,16,-3.1250,83,-0.5636,186,0.71724,56,-1.1519,160,1.15391
ENSG00000067606,PRKCZ,92,-1.2307,203,0.06664,285,0.61365,100,-1.0208,228,0.56095
ENSG00000162585,FAAP20,42,-0.4243,64,0.27272,21,-1.3863,83,0.70682,56,0.16117
ENSG00000157933,SKI,47,1.54233,21,-0.0378,22,0.02616,30,0.55272,11,-1.4994
ENSG00000157916,RER1,57,-0.0928,16,-1.9761,33,-0.9193,53,-0.1883,74,0.77092
ENSG00000157911,PEX10,30,0.02187,20,-0.6522,19,-0.6710,51,0.84570,30,-0.0046
ENSG00000149527,PLCH2,15,0.03867,19,0.37832,16,0.11224,3,-2.2869,16,0.21153
ENSG00000157870,PRXL2B,11,-2.2609,75,0.71149,42,-0.2436,50,0.03830,57,0.59197
ENSG00000177133,PRDM16-DT,5,-2.1435,47,1.45813,3,-2.8447,24,0.35643,22,0.37839
ENSG00000158109,TPRG1L,42,-2.0986,121,-0.4196,188,0.27518,111,-0.5530,205,1.02421
ENSG00000130764,LRRC47,34,-0.7721,27,-1.0436,75,0.50784,31,-0.8820,66,0.71088
ENSG00000116198,CEP104,87,1.74638,42,0.23335,43,0.24951,41,0.17678,17,-1.7729
ENSG00000196581,AJAP1,24,-0.3142,42,0.55503,49,0.84003,12,-1.3519,29,-0.0853
ENSG00000069424,KCNAB2,34,-2.8298,230,0.17357,214,0.05895,133,-0.6735,270,1.06393
ENSG00000116254,CHD5,38,-2.5293,455,1.50705,494,1.66067,67,-1.5555,160,-0.4450
ENSG00000116251,RPL22,806,0.11657,718,-0.0787,303,-1.3978,1239,0.81045,738,-0.0689
ENSG00000116237,ICMT,14,-0.6781,17,-0.2457,30,0.61056,13,-0.6572,23,0.37131
ENSG00000097021,ACOT7,57,-2.2009,92,-1.3748,192,-0.2586,123,-0.9467,329,1.65113
ENSG00000171680,PLEKHG5,1,-4.2733,19,-0.3711,25,0.06066,9,-1.4583,35,1.62518
ENSG00000162408,NOL9,9,-1.0363,41,1.34320,30,0.82266,16,-0.1573,15,-0.4520
ENSG00000162413,KLHL21,29,0.85124,8,-1.2155,22,0.24770,10,-0.9250,17,-0.1684
ENSG00000041988,THAP3,12,-0.7623,24,0.35966,20,0.04349,17,-0.1516,21,0.28847
ENSG00000007923,DNAJC11,14,-0.8446,23,-0.1028,30,0.36350,19,-0.3761,28,0.43817
ENSG00000171735,CAMTA1,193,-0.0273,312,0.75576,485,1.53325,129,-0.6493,141,-0.8955
ENSG00000049245,VAMP3,98,2.38199,15,-1.1959,8,-2.1088,45,0.50320,16,-1.6638
ENSG00000049246,PER3,56,1.81076,16,-0.5454,17,-0.4578,25,0.11605,14,-1.2707
ENSG00000116288,PARK7,174,-1.5287,228,-1.0227,170,-1.4645,525,0.27291,600,1.23709
ENSG00000162426,SLC45A1,9,-1.6090,5,-2.3253,27,0.09583,15,-0.7866,36,1.40940
ENSG00000142599,RERE,195,1.04252,183,0.78300,134,0.27008,121,0.11126,69,-1.2581
ENSG00000074800,ENO1,277,-1.4915,516,-0.4497,402,-0.8337,915,0.45927,864,0.85467
ENSG00000171612,SLC25A33,18,-0.5310,21,-0.2138,9,-1.4682,66,1.67181,23,-0.2005
ENSG00000171603,CLSTN1,197,-1.4103,278,-0.8008,589,0.37883,295,-0.7095,594,0.93108
ENSG00000178585,CTNNBIP1,25,-0.7268,48,0.36261,27,-0.5191,36,-0.0794,43,0.41882
ENSG00000162441,LZIC,106,1.33893,72,0.48009,58,0.12948,48,-0.1632,33,-1.2383
ENSG00000130939,UBE4B,38,0.49386,10,-1.6157,46,0.75846,16,-0.8542,28,-0.0726
ENSG00000054523,KIF1B,474,0.89187,403,0.50240,532,0.96948,131,-1.2496,205,-0.9702
ENSG00000142657,PGD,42,-0.2484,36,-0.4464,54,0.17350,22,-1.1732,56,0.50628
ENSG00000175279,CENPS,10,-0.6479,21,0.51462,7,-1.1104,6,-1.4004,18,0.75882
ENSG00000241563,CORT,22,-2.1445,37,-1.2780,34,-1.4185,201,1.41455,106,0.73273
ENSG00000160049,DFFA,118,1.36928,89,0.66537,66,0.18085,57,-0.0547,33,-1.4257
ENSG00000142655,PEX14,4,-2.1483,3,-2.5361,30,0.90868,25,0.60906,20,0.59792
ENSG00000120948,TARDBP,85,0.65326,44,-0.4851,99,0.82792,49,-0.3168,49,-0.5567
ENSG00000116649,SRM,32,-1.5859,77,-0.1721,54,-0.7050,120,0.54836,104,0.72083
ENSG00000171824,EXOSC10,46,0.44832,33,-0.1330,32,-0.1624,58,0.77836,30,-0.5214
ENSG00000198793,MTOR,23,-0.7024,34,-0.0890,33,-0.1476,40,0.16479,40,0.38418
ENSG00000116661,FBXO2,77,-2.1174,293,0.01689,150,-1.0149,504,0.90954,348,0.65617
ENSG00000132879,FBXO44,31,-1.8256,90,-0.0854,103,0.12355,48,-1.0544,125,1.03361
ENSG00000116670,MAD2L2,19,0.19490,16,-0.1347,14,-0.3007,33,1.04004,15,-0.4474
ENSG00000177000,MTHFR,29,1.22819,10,-0.6593,33,1.27728,4,-1.8716,10,-0.9914
ENSG00000011021,CLCN6,45,-0.2056,40,-0.3707,90,0.92967,32,-0.6932,51,0.01715
ENSG00000116685,KIAA2013,34,0.56065,6,-2.1128,49,1.10340,16,-0.6640,23,-0.2957
ENSG00000083444,PLOD1,17,0.09051,9,-0.8347,15,-0.1697,22,0.44316,17,0.05122
ENSG00000116688,MFN2,71,-0.3441,66,-0.4312,120,0.51559,64,-0.4827,95,0.26274
ENSG00000116691,MIIP,20,0.07359,30,0.73798,22,0.22417,22,0.22036,16,-0.5025
ENSG00000048707,VPS13D,64,0.37659,39,-0.4270,61,0.26928,28,-0.9361,52,0.02436
ENSG00000162496,DHRS3,10,-0.7326,21,0.50441,9,-0.7457,58,2.34480,10,-1.0639
ENSG00000116731,PRDM2,159,0.34733,254,1.09189,271,1.20509,66,-1.0549,89,-1.0270
ENSG00000189337,KAZN,86,0.96575,49,-0.0573,54,0.08053,31,-0.7808,43,-0.4999
ENSG00000142634,EFHD2,31,-1.8402,74,-0.4438,121,0.32883,65,-0.6566,127,0.97207
ENSG00000116138,DNAJC16,15,-0.2477,16,-0.0517,33,1.09372,2,-2.9493,17,0.11828
ENSG00000197312,DDI2,28,0.48716,23,0.10851,47,1.28250,7,-1.7367,17,-0.6087
ENSG00000116786,PLEKHM2,29,-1.8556,145,0.73514,82,-0.1981,90,-0.0400,107,0.50867
ENSG00000065526,SPEN,323,2.38812,162,0.64854,161,0.63567,54,-1.0864,29,-2.7963
ENSG00000116809,ZBTB17,24,0.21485,13,-0.7175,24,0.16120,46,1.26105,17,-0.5891
ENSG00000037637,FBXO42,15,0.13456,11,-0.3530,27,1.11946,0,-4.0110,14,0.00686
ENSG00000055070,SZRD1,49,0.84606,23,-0.4590,28,-0.1503,50,0.77550,24,-0.7409
ENSG00000219481,NBPF1,30,1.32497,8,-0.9052,15,-0.0174,11,-0.4974,12,-0.6366
ENSG00000238142,BX284668.5,8,-0.7657,8,-0.7544,4,-1.6878,12,-0.1671,17,1.07504
ENSG00000159363,ATP13A2,36,-1.8058,61,-0.9247,100,-0.1697,54,-1.1140,156,1.43493
ENSG00000117118,SDHB,30,-1.5719,37,-1.1928,31,-1.4410,63,-0.3786,115,1.57639
ENSG00000117115,PADI2,233,2.56438,26,-1.5818,22,-1.8596,146,1.11374,26,-2.3083
ENSG00000074964,ARHGEF10L,13,-0.1179,19,0.52456,9,-0.6434,15,0.12730,14,0.00102
ENSG00000117154,IGSF21,21,-1.9130,22,-1.7536,54,-0.4016,49,-0.5541,101,1.57427
ENSG00000159423,ALDH4A1,12,-1.1338,29,0.30704,17,-0.4941,20,-0.2790,29,0.66518
ENSG00000127481,UBR4,40,0.38185,20,-0.6765,62,1.08249,34,0.12145,26,-0.5892
ENSG00000127463,EMC1,12,-0.9631,17,-0.4200,25,0.14573,29,0.38712,25,0.39973
ENSG00000053372,MRTO4,30,-0.6729,55,0.30175,50,0.15376,24,-0.9889,52,0.44234
ENSG00000053371,AKR7A2,19,-1.4872,37,-0.3889,16,-1.6414,83,0.90430,58,0.73844
ENSG00000077549,CAPZB,150,-0.5054,111,-0.9205,232,0.22556,192,-0.0744,230,0.46196
ENSG00000173436,MICOS10,231,-0.9994,329,-0.3838,165,-1.4351,438,0.06335,539,0.94917
ENSG00000158747,NBL1,58,-1.6199,119,-0.4397,171,0.13180,195,0.33915,189,0.64828
ENSG00000162545,CAMK2N1,1109,-0.7738,3179,0.98071,1792,0.03443,1163,-0.6394,1822,0.12557
ENSG00000158828,PINK1,162,-1.5267,337,-0.3173,370,-0.1711,457,0.16489,508,0.76993
ENSG00000244038,DDOST,14,-1.3279,9,-1.9706,23,-0.5444,52,0.73489,42,0.87078
ENSG00000117245,KIF17,2,-2.7677,6,-1.3907,14,-0.0797,7,-1.2221,22,1.77444
ENSG00000189410,SH2D5,4,-3.2177,29,-0.2323,44,0.45216,23,-0.5813,44,1.06558
ENSG00000127483,HP1BP3,348,1.15434,258,0.48534,296,0.71087,128,-0.6213,121,-1.1907
ENSG00000075151,EIF4G3,277,0.81112,179,0.00290,311,0.90668,79,-1.2550,141,-0.6678
ENSG00000117298,ECE1,37,1.07141,13,-0.7174,26,0.35054,78,2.29881,7,-2.4363
ENSG00000076864,RAP1GAP,47,-1.5145,45,-1.4740,137,0.21572,63,-0.9950,163,1.25550
ENSG00000090686,USP48,130,1.34569,57,-0.2243,91,0.52607,71,0.12309,40,-1.2448
ENSG00000070831,CDC42,140,-0.2261,80,-1.0513,161,0.01402,130,-0.3233,184,0.49607
ENSG00000173372,C1QA,37,1.03621,24,0.20969,2,-3.0257,79,2.32528,9,-1.9474
ENSG00000173369,C1QB,43,1.29067,15,-0.5887,8,-1.4183,78,2.19956,9,-1.9686
ENSG00000004487,KDM1A,37,-0.2368,29,-0.6172,53,0.35134,40,-0.1228,46,0.21975
ENSG00000169641,LUZP1,76,-0.1678,147,0.92671,238,1.79122,31,-1.4930,59,-0.9466
ENSG00000125944,HNRNPR,149,0.42516,150,0.38564,182,0.70020,77,-0.6674,98,-0.5196
ENSG00000142676,RPL11,856,0.38154,509,-0.4823,189,-1.9760,1233,0.94806,663,-0.1349
ENSG00000011007,ELOA,38,0.80028,38,0.68758,22,-0.1791,19,-0.3906,19,-0.6682
ENSG00000057757,PITHD1,70,-1.1263,67,-1.1077,152,0.15383,92,-0.6285,177,0.97587
ENSG00000011009,LYPLA2,6,-2.2082,33,0.44026,39,0.73366,24,-0.0389,28,0.34216
ENSG00000117308,GALE,3,-2.0407,12,0.01087,12,0.03117,14,0.20852,15,0.69989
ENSG00000117305,HMGCL,20,-0.3015,22,-0.1464,13,-0.8919,26,0.13166,27,0.40969
ENSG00000189266,PNRC2,43,-0.0300,46,0.06599,40,-0.1389,68,0.70225,41,-0.2439
ENSG00000188529,SRSF10,119,1.19007,87,0.50505,71,0.15956,49,-0.4210,43,-1.0351
ENSG00000001461,NIPAL3,427,2.42884,73,-1.0253,168,0.26179,74,-1.0046,66,-1.8182
ENSG00000133226,SRRM1,639,2.16834,238,0.04025,249,0.10940,146,-0.7239,107,-1.8282
ENSG00000169504,CLIC4,135,3.01283,3,-3.3984,5,-2.9424,83,1.29187,9,-2.8936
ENSG00000117614,SYF2,197,0.82914,158,0.35313,145,0.21641,90,-0.5319,101,-0.6408
ENSG00000117616,RSRP1,114,1.31185,25,-1.2696,79,0.49666,64,0.14872,40,-0.9620
ENSG00000183726,TMEM50A,80,0.65510,19,-1.6290,40,-0.5217,59,0.08565,56,0.01715
ENSG00000204178,MACO1,84,1.27237,57,0.43028,67,0.70868,8,-2.5440,30,-1.0023
ENSG00000117643,MAN1C1,9,-1.6777,14,-0.9604,29,0.09425,25,-0.1203,35,0.99715
ENSG00000162430,SELENON,20,-0.1334,18,-0.2869,16,-0.4927,45,1.16295,20,-0.2256
ENSG00000117640,MTFR1L,30,-1.1676,48,-0.3496,72,0.27268,73,0.29512,69,0.44412
ENSG00000117632,STMN1,959,-0.6532,621,-1.2599,1056,-0.4508,903,-0.6931,1833,1.02655
ENSG00000158008,EXTL1,2,-3.8387,27,-0.4227,57,0.79506,13,-1.5256,47,1.20027
ENSG00000142684,ZNF593,19,-1.5823,30,-0.8268,39,-0.4262,45,-0.1955,68,1.15710
ENSG00000142669,SH3BGRL3,163,-1.0552,188,-0.7652,198,-0.6884,291,-0.0907,398,0.98390
ENSG00000158062,UBXN11,1,-4.2371,32,0.32996,19,-0.4668,22,-0.2146,34,1.17102
ENSG00000117682,DHDDS,12,-0.8661,17,-0.2050,25,0.40396,8,-1.3299,24,0.67077
ENSG00000198830,HMGN2,256,0.68632,129,-0.4933,83,-1.1570,417,1.44804,134,-0.7702
ENSG00000117713,ARID1A,87,0.99965,64,0.34850,98,1.05672,43,-0.2906,31,-1.2740
ENSG00000204160,ZDHHC18,14,-0.0055,4,-1.6217,19,0.46480,7,-0.9845,16,0.43035
ENSG00000142751,GPN2,17,0.13248,10,-0.6187,12,-0.3106,16,0.08458,16,0.15830
ENSG00000090273,NUDC,164,-0.9581,265,-0.1468,227,-0.3834,264,-0.1541,352,0.69945
ENSG00000253368,TRNP1,5,-3.5863,42,-0.2418,57,0.21566,20,-1.3770,70,1.42173
ENSG00000142784,WDTC1,24,-0.0633,24,-0.0659,31,0.36097,23,-0.0853,24,-0.0463
ENSG00000186501,TMEM222,46,-0.0919,45,-0.1164,36,-0.4682,36,-0.4348,54,0.36243
ENSG00000158195,WASF2,182,2.68508,52,-0.1199,33,-0.8278,70,0.35790,16,-2.6502
ENSG00000126705,AHDC1,27,-0.3531,49,0.64367,80,1.50620,23,-0.5526,26,-0.6600
ENSG00000126709,IFI6,64,-0.2269,22,-1.7953,62,-0.2491,115,0.73488,79,0.27476
ENSG00000009780,FAM76A,24,0.85004,6,-1.4786,35,1.33973,12,-0.4169,11,-0.8018
ENSG00000117758,STX12,79,-0.2459,59,-0.6755,91,0.00084,78,-0.2406,103,0.40825
ENSG00000117751,PPP1R8,21,-0.0428,16,-0.4231,27,0.36168,26,0.27922,21,-0.0835
ENSG00000117748,RPA2,21,-1.2059,33,-0.4353,32,-0.5189,67,0.67020,52,0.57175
ENSG00000126698,DNAJC8,223,-0.0813,344,0.62648,231,-0.0192,195,-0.2855,226,-0.1067
ENSG00000130770,ATP5IF1,214,-2.1084,418,-0.9930,229,-1.8907,709,-0.1812,1160,1.69987
ENSG00000204138,PHACTR4,124,3.27369,22,-0.6121,29,-0.2017,8,-2.1334,9,-2.7222
ENSG00000180098,TRNAU1AP,32,0.99560,13,-0.4911,15,-0.2999,21,0.16339,15,-0.5484
ENSG00000197989,SNHG12,12,-0.1873,19,0.63134,11,-0.1800,22,0.87393,11,-0.4561
ENSG00000198492,YTHDF2,51,-0.4048,38,-0.8049,106,0.81451,47,-0.4828,69,0.23701
ENSG00000116350,SRSF4,151,1.36127,65,-0.2406,80,0.10211,77,0.02734,51,-1.0362
ENSG00000116353,MECR,16,-1.4650,26,-0.6380,28,-0.5661,38,-0.0765,53,1.06561
ENSG00000162511,LAPTM5,64,1.52133,32,0.13929,7,-2.0571,57,1.08129,17,-1.3956
ENSG00000162512,SDC3,59,-0.6987,147,0.80508,122,0.49520,148,0.81280,75,-0.5066
ENSG00000134644,PUM1,109,0.04879,154,0.60402,250,1.44869,38,-1.5662,84,-0.6457
ENSG00000121766,ZCCHC17,142,-0.5945,248,0.33725,255,0.38296,158,-0.3780,211,0.15971
ENSG00000121769,FABP3,20,-2.8376,43,-1.5635,48,-1.4271,108,-0.1844,183,1.92840
ENSG00000162517,PEF1,34,-1.3406,65,-0.2750,60,-0.3916,48,-0.7550,102,1.07272
ENSG00000084636,COL16A1,71,0.64148,19,-1.4502,46,-0.1454,23,-1.1785,54,0.21482
ENSG00000121753,ADGRB2,45,-2.2982,135,-0.5491,317,0.82069,107,-0.9034,244,0.90442
ENSG00000184007,PTP4A2,1006,2.51386,205,-0.7270,231,-0.5434,267,-0.3168,147,-1.8853
ENSG00000121774,KHDRBS1,123,0.15259,137,0.30320,118,0.06710,108,-0.0742,106,-0.2023
ENSG00000025800,KPNA6,135,0.63648,108,0.19631,212,1.33476,52,-0.9255,68,-0.9144
ENSG00000084652,TXLNA,33,0.91434,29,0.55429,38,1.05488,11,-0.8782,13,-1.1361
ENSG00000160050,CCDC28B,5,-2.0211,16,-0.1642,15,-0.2194,39,1.33135,19,0.23838
ENSG00000084623,EIF3I,64,-0.6979,58,-0.7979,86,-0.1924,95,-0.0328,117,0.66578
ENSG00000175130,MARCKSL1,710,2.10670,121,-1.1986,91,-1.6183,431,0.80391,139,-1.5616
ENSG00000160058,BSDC1,46,-0.2825,49,-0.1560,73,0.47163,41,-0.4284,57,0.15664
ENSG00000176261,ZBTB8OS,42,-0.3381,52,0.04156,24,-1.1624,56,0.14702,58,0.41099
ENSG00000162521,RBBP4,113,0.79714,73,-0.0277,94,0.37675,50,-0.6174,62,-0.5177
ENSG00000134684,YARS,35,-1.6534,43,-1.2734,83,-0.2723,65,-0.6359,137,1.37920
ENSG00000160097,FNDC5,9,-1.1146,14,-0.4157,21,0.22800,7,-1.3044,23,0.91455
ENSG00000121905,HPCA,15,-4.1491,161,-0.5312,113,-1.0710,165,-0.4978,337,1.84152
ENSG00000121900,TMEM54,29,-1.0119,57,0.09471,36,-0.5910,108,1.16536,55,0.07789
ENSG00000004455,AK2,62,1.28629,6,-2.4389,29,-0.1186,53,0.83741,23,-0.8813
ENSG00000142920,AZIN2,37,0.49007,9,-1.6206,11,-1.4104,24,-0.2370,32,0.41980
ENSG00000160094,ZNF362,21,0.24827,28,0.70076,22,0.29557,20,0.16661,15,-0.6043
ENSG00000134686,PHC2,62,0.69316,27,-0.7228,41,-0.0432,48,0.19544,38,-0.3360
ENSG00000163866,SMIM12,22,-1.4032,13,-2.1046,31,-0.8223,33,-0.7368,77,1.64525
ENSG00000116544,DLGAP3,4,-3.5711,63,0.44748,69,0.58810,33,-0.5614,58,0.74237
ENSG00000163867,ZMYM6,18,0.49884,21,0.68471,18,0.46653,3,-1.9586,12,-0.4012
ENSG00000116560,SFPQ,420,1.31380,229,0.10607,249,0.23992,169,-0.3687,145,-1.0340
ENSG00000146463,ZMYM4,52,0.68346,57,0.76190,66,0.99903,23,-0.6459,24,-1.0597
ENSG00000142687,KIAA0319L,83,0.11136,97,0.35507,116,0.65072,54,-0.5637,70,-0.2979
ENSG00000020129,NCDN,65,-3.1590,199,-1.3779,453,-0.1187,235,-1.1257,727,1.83382
ENSG00000126067,PSMB2,66,-0.5378,22,-2.0837,70,-0.3804,77,-0.2457,115,0.92575
ENSG00000142686,C1orf216,24,-1.7550,43,-0.7901,96,0.45153,51,-0.5616,93,0.95805
ENSG00000092847,AGO1,39,0.66532,19,-0.5260,49,0.98185,23,-0.2195,21,-0.6669
ENSG00000126070,AGO3,127,2.39026,46,0.11274,66,0.71543,14,-1.7163,15,-2.3201
ENSG00000116863,ADPRHL2,22,0.21580,11,-0.9427,9,-1.1926,10,-1.0039,24,0.66825
ENSG00000054116,TRAPPC3,25,-1.5898,37,-0.9081,34,-1.0299,89,0.45219,88,1.05422
ENSG00000116871,MAP7D1,221,0.12158,125,-0.7812,208,0.00819,104,-1.0574,232,0.40109
ENSG00000054118,THRAP3,242,0.97511,276,1.06744,254,0.92744,70,-1.1082,84,-1.3599
ENSG00000181817,LSM10,15,-2.2589,32,-1.0091,27,-1.2458,43,-0.5552,91,1.77439
ENSG00000116885,OSCP1,7,-1.6941,7,-1.7041,9,-1.2020,25,0.28712,30,1.36499
ENSG00000116898,MRPS15,34,-1.2684,42,-0.8562,47,-0.6669,52,-0.5300,99,1.23982
ENSG00000163873,GRIK3,5,-1.2636,2,-2.4428,21,0.91596,11,-0.0713,14,0.64017
ENSG00000163875,MEAF6,59,-0.7186,85,-0.0860,130,0.59876,44,-1.0959,102,0.43535
ENSG00000134697,GNL2,37,0.66118,13,-1.0474,33,0.39339,19,-0.5231,24,-0.1899
ENSG00000185090,MANEAL,3,-2.9412,7,-1.5244,28,0.56922,11,-0.8524,27,1.37322
ENSG00000197982,C1orf122,234,-0.1854,182,-0.5528,94,-1.5481,308,0.27278,301,0.51627
ENSG00000188786,MTF1,41,2.18356,18,0.31006,30,1.16858,1,-3.3192,5,-2.3188
ENSG00000183431,SF3A3,31,-0.4387,41,0.02843,44,0.14276,34,-0.2498,44,0.25961
ENSG00000183520,UTP11,31,-0.2954,36,-0.0430,40,0.12689,21,-0.8527,42,0.36593
ENSG00000116954,RRAGC,43,0.27161,34,-0.1188,61,0.84165,39,0.09726,30,-0.5202
ENSG00000174574,AKIRIN1,77,0.05655,66,-0.1776,106,0.58189,50,-0.6202,73,-0.0330
ENSG00000168653,NDUFS5,317,-1.7107,701,-0.4054,545,-0.7926,881,-0.0464,1204,1.12370
ENSG00000127603,MACF1,547,1.54637,483,1.07287,332,0.44013,182,-0.5126,114,-1.8662
ENSG00000090621,PABPC4,117,0.83730,127,0.85589,94,0.36253,83,0.16440,48,-1.1697
ENSG00000116983,HPCAL4,51,-2.8592,405,0.39676,509,0.77558,218,-0.5769,374,0.59816
ENSG00000084072,PPIE,27,-0.5052,30,-0.3011,11,-1.8188,47,0.39586,43,0.60302
ENSG00000131236,CAP1,181,0.22735,94,-0.8161,155,-0.0411,143,-0.1653,166,0.13982
ENSG00000131238,PPT1,61,-0.7838,46,-1.1679,78,-0.3624,104,0.09091,121,0.78914
ENSG00000117000,RLF,39,1.57052,24,0.48905,37,1.21730,5,-1.8020,8,-1.7511
ENSG00000259943,AL050341.2,14,-0.0583,6,-1.3050,5,-1.4901,13,-0.0772,17,0.72143
ENSG00000084073,ZMPSTE24,20,-0.0151,22,0.15258,28,0.52102,7,-1.4757,21,0.08201
ENSG00000049089,COL9A2,101,2.84471,7,-2.1822,13,-1.2303,34,0.23207,11,-2.1091
ENSG00000084070,SMAP2,50,-1.3175,111,0.00850,208,1.04322,35,-1.7290,127,0.48371
ENSG00000117016,RIMS3,17,-2.6317,126,0.53679,92,0.03384,46,-1.0379,116,0.95512
ENSG00000066136,NFYC,14,-0.5550,10,-0.9473,18,-0.0993,9,-1.1645,24,0.89961
ENSG00000179862,CITED4,11,-1.0270,9,-1.1811,19,-0.0592,30,0.64829,23,0.54436
ENSG00000127124,HIVEP3,26,0.88527,26,0.80704,21,0.43774,6,-1.4380,12,-0.8168
ENSG00000198815,FOXJ3,26,-0.0437,18,-0.6048,47,0.91985,19,-0.5149,26,-0.0522
ENSG00000177181,RIMKLA,4,-2.9651,37,0.47402,55,1.14788,12,-1.2807,32,0.50137
ENSG00000127125,PPCS,45,-0.3979,57,-0.0066,50,-0.2122,66,0.21420,61,0.21298
ENSG00000186409,CCDC30,54,0.58810,98,1.54587,72,0.99600,18,-1.1903,23,-1.3815
ENSG00000171960,PPIH,13,-0.3970,5,-1.7613,8,-0.9755,11,-0.6492,22,1.08970
ENSG00000065978,YBX1,233,1.19575,112,-0.1756,49,-1.4397,233,1.02600,86,-0.9901
ENSG00000164008,C1orf50,12,-1.2147,29,0.18638,23,-0.1714,24,-0.1459,31,0.60485
ENSG00000177868,SVBP,51,0.18455,33,-0.5172,25,-0.9449,47,0.02877,50,0.26872
ENSG00000117394,SLC2A1,35,0.28562,20,-0.6013,15,-1.0069,107,2.26001,19,-1.1323
ENSG00000117395,EBNA1BP2,61,-0.9946,70,-0.7124,55,-1.0650,95,-0.2376,146,1.08778
ENSG00000179178,TMEM125,118,4.55012,0,-8.5352,2,-3.2758,9,-1.5914,5,-3.1577
ENSG00000066322,ELOVL1,156,3.16551,3,-3.8191,3,-3.9244,49,0.24363,16,-2.1350
ENSG00000159479,MED8,19,-0.7274,25,-0.2147,25,-0.2098,21,-0.4880,35,0.66948
ENSG00000178922,HYI,25,0.04979,9,-1.4256,10,-1.3885,72,1.81837,22,-0.3809
ENSG00000142949,PTPRF,100,0.02617,129,0.43792,181,1.00881,30,-1.8117,90,-0.2575
ENSG00000066135,KDM4A,11,-0.2712,11,-0.1843,24,1.00080,4,-1.5514,13,0.10762
