Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000116251,RPL22,967,0.43151,1193,0.78568,984,0.52980,268,-1.5656,506,-0.7369,753,0.02675
ENSG00000116237,ICMT,19,-0.7410,10,-1.7076,28,-0.1839,32,0.04868,43,0.66630,34,0.14443
ENSG00000097021,ACOT7,50,-2.3866,69,-1.9007,227,-0.0952,218,-0.1501,399,1.21084,206,-0.2709
ENSG00000215788,TNFRSF25,0,-5.0419,1,-3.4263,17,-0.0775,27,0.66112,25,0.77257,20,0.19700
ENSG00000171680,PLEKHG5,0,-6.6274,2,-3.5769,16,-0.6180,22,-0.0271,26,0.26774,47,1.48029
ENSG00000162408,NOL9,21,-0.1356,8,-1.5659,18,-0.3871,34,0.67961,26,0.32296,24,0.10080
ENSG00000162413,KLHL21,23,-0.2233,18,-0.6132,26,-0.0112,39,0.62494,29,0.15506,24,-0.2142
ENSG00000041988,THAP3,17,-0.0697,5,-1.7431,16,-0.1316,13,-0.4115,22,0.46631,21,0.31595
ENSG00000007923,DNAJC11,15,-0.9657,11,-1.4496,26,-0.1354,28,0.01654,34,0.42955,36,0.45080
ENSG00000171735,CAMTA1,126,-0.6739,111,-0.8795,129,-0.7115,424,1.32387,198,0.03497,217,0.19711
ENSG00000049245,VAMP3,154,2.08892,44,-0.1403,83,1.07003,21,-1.2798,14,-2.0965,26,-1.0400
ENSG00000049246,PER3,65,0.71469,39,-0.0974,56,0.55028,46,0.14689,21,-1.2385,46,0.17781
ENSG00000116288,PARK7,215,-0.8162,135,-1.5222,354,-0.0433,186,-1.0399,477,0.60765,474,0.50476
ENSG00000116285,ERRFI1,13,-0.2971,11,-0.5908,18,0.19625,21,0.40211,19,0.32468,12,-0.5205
ENSG00000162426,SLC45A1,9,-1.7496,8,-1.9099,28,-0.0834,29,0.01193,44,0.92347,29,-0.0066
ENSG00000142599,RERE,161,0.41446,354,1.82995,61,-1.2096,126,0.02162,90,-0.6234,107,-0.2743
ENSG00000074800,ENO1,192,-1.8811,192,-1.8779,891,0.57529,472,-0.5207,752,0.28875,835,0.44920
ENSG00000171612,SLC25A33,16,-0.7537,22,-0.2872,22,-0.3190,15,-0.8724,29,0.18906,40,0.79365
ENSG00000171603,CLSTN1,159,-1.9080,150,-2.0012,520,-0.1173,794,0.58641,824,0.90542,468,-0.3012
ENSG00000178585,CTNNBIP1,43,-0.0073,19,-1.2290,39,-0.1532,44,0.04274,48,0.23515,50,0.28642
ENSG00000162441,LZIC,119,1.15020,95,0.75343,61,0.04748,47,-0.3917,39,-0.8087,49,-0.3450
ENSG00000130939,UBE4B,44,0.22048,34,-0.1819,30,-0.4120,58,0.69207,49,0.55610,19,-1.1818
ENSG00000054523,KIF1B,455,0.42258,470,0.47795,258,-0.5322,558,0.76521,320,-0.1836,274,-0.4339
ENSG00000142657,PGD,38,-0.5345,26,-1.1077,82,0.82895,35,-0.6515,62,0.33408,41,-0.4424
ENSG00000175279,CENPS,4,-1.6311,5,-1.4193,9,-0.6783,25,0.97849,16,0.30546,18,0.52460
ENSG00000241563,CORT,4,-4.0781,10,-2.8601,136,1.38049,53,-0.4194,80,0.32402,54,-0.4111
ENSG00000160049,DFFA,106,1.09379,79,0.58176,53,-0.0634,69,0.36785,33,-0.9721,46,-0.3084
ENSG00000142655,PEX14,7,-1.5895,1,-3.7380,25,0.42794,28,0.55055,25,0.48742,19,-0.0997
ENSG00000120948,TARDBP,133,0.85444,69,-0.2253,87,0.15955,73,-0.1404,71,-0.2209,66,-0.3163
ENSG00000116649,SRM,35,-1.0490,22,-1.7322,66,-0.0636,54,-0.3754,84,0.42907,96,0.62923
ENSG00000171824,EXOSC10,56,0.65885,57,0.71329,26,-0.5868,42,0.21370,37,-0.0057,26,-0.6110
ENSG00000198793,MTOR,17,-1.3414,26,-0.6649,48,0.30937,32,-0.3789,49,0.42195,43,0.11036
ENSG00000116661,FBXO2,53,-2.3176,112,-1.2260,326,0.52091,156,-0.7191,289,0.33828,314,0.44714
ENSG00000132879,FBXO44,29,-1.8045,32,-1.6671,70,-0.5287,122,0.40889,125,0.60451,126,0.52514
ENSG00000116670,MAD2L2,22,0.35006,6,-1.5229,21,0.34043,23,0.43656,12,-0.6816,23,0.46628
ENSG00000177000,MTHFR,16,-0.3453,22,0.12168,13,-0.7436,52,1.61996,20,0.00958,12,-0.7963
ENSG00000011021,CLCN6,30,-1.2269,37,-0.9459,68,0.01272,105,0.71279,92,0.69018,46,-0.6689
ENSG00000116685,KIAA2013,42,0.30563,33,-0.0851,41,0.31411,39,0.17862,34,-0.0620,25,-0.5648
ENSG00000083444,PLOD1,22,0.12260,13,-0.6906,34,0.95521,7,-1.5113,19,-0.1481,19,-0.1410
ENSG00000116688,MFN2,78,-0.4792,52,-1.0938,118,0.20785,107,0.01781,130,0.45528,96,-0.1738
ENSG00000116691,MIIP,14,-0.6914,27,0.31763,22,0.01156,8,-1.5187,21,-0.0999,32,0.70626
ENSG00000048707,VPS13D,74,0.48999,18,-1.7026,55,0.00665,71,0.41175,61,0.22027,46,-0.2928
ENSG00000162496,DHRS3,4,-2.3352,14,-0.4684,40,1.42119,19,-0.0711,13,-0.7333,20,0.02236
ENSG00000116731,PRDM2,201,0.72467,203,0.74591,47,-1.6457,307,1.48486,92,-0.6603,105,-0.3573
ENSG00000189337,KAZN,111,1.15112,47,-0.2778,60,0.14054,44,-0.3877,60,0.15101,28,-1.1480
ENSG00000142634,EFHD2,7,-4.2736,16,-3.0892,201,0.87224,155,0.31324,188,0.87368,68,-1.0720
ENSG00000116138,DNAJC16,25,0.05044,1,-4.1242,26,0.12937,53,1.32386,25,0.04277,18,-0.4815
ENSG00000197312,DDI2,40,0.71554,14,-0.9093,16,-0.7730,60,1.45215,29,0.27899,11,-1.3919
ENSG00000116786,PLEKHM2,43,-0.9876,70,-0.2392,70,-0.2785,75,-0.1427,80,-0.0326,124,0.80027
ENSG00000065526,SPEN,285,1.25829,548,2.60733,33,-2.2666,210,0.72232,26,-2.7782,83,-0.8313
ENSG00000116809,ZBTB17,28,0.45773,22,0.08270,23,0.16912,13,-0.6891,23,0.21068,15,-0.5378
ENSG00000185519,FAM131C,64,2.10139,16,-0.3178,18,-0.1713,7,-1.5072,10,-1.2032,21,0.16630
ENSG00000037637,FBXO42,7,-1.3686,15,-0.2494,18,-0.0077,28,0.70373,18,0.01894,20,0.15824
ENSG00000055070,SZRD1,52,0.82867,39,0.36901,37,0.31146,26,-0.2945,21,-0.7529,29,-0.1193
ENSG00000159363,ATP13A2,47,-1.3872,25,-2.3153,120,0.04925,120,0.04355,179,0.98148,100,-0.2794
ENSG00000117118,SDHB,39,-1.0009,29,-1.4625,74,-0.0293,28,-1.4772,99,0.62200,103,0.60922
ENSG00000117115,PADI2,356,1.92202,228,1.07691,222,1.23645,30,-2.1177,15,-3.4008,47,-1.5399
ENSG00000179051,RCC2,19,0.00042,9,-1.0195,23,0.35905,32,0.89365,17,-0.1394,14,-0.4576
ENSG00000074964,ARHGEF10L,2,-2.7496,12,-0.5640,24,0.62253,12,-0.5237,17,-0.0088,22,0.53176
ENSG00000117154,IGSF21,2,-4.7716,31,-1.2425,92,0.49937,86,0.31906,99,0.75843,52,-0.5258
ENSG00000159423,ALDH4A1,9,-1.4009,6,-1.9360,42,1.08791,25,0.06759,13,-1.0600,37,0.84293
ENSG00000127481,UBR4,38,0.54093,66,1.50666,11,-1.4811,52,1.06469,14,-1.2336,27,-0.0368
ENSG00000127463,EMC1,22,-0.2258,19,-0.4177,24,-0.0808,32,0.34421,26,0.03209,28,0.14823
ENSG00000053372,MRTO4,15,-1.5779,14,-1.7002,34,-0.4239,71,0.79832,53,0.41032,54,0.40858
ENSG00000053371,AKR7A2,20,-1.0951,27,-0.6825,66,0.87163,19,-1.1721,40,-0.0997,50,0.33127
ENSG00000077549,CAPZB,119,-0.7207,133,-0.5431,173,-0.1516,208,0.16492,241,0.54708,175,-0.1255
ENSG00000173436,MICOS10,262,-0.6518,352,-0.1910,472,0.31522,139,-1.6126,475,0.38261,426,0.12731
ENSG00000158747,NBL1,13,-3.5810,41,-1.9639,147,-0.0159,170,0.21904,217,0.86853,157,0.10035
ENSG00000162545,CAMK2N1,1138,-0.4010,987,-0.6219,814,-0.9997,1534,0.07319,1253,-0.3131,2806,1.31075
ENSG00000090432,MUL1,17,-0.1342,6,-1.5894,13,-0.5232,28,0.68511,23,0.48551,18,-0.0208
ENSG00000158828,PINK1,123,-2.0344,188,-1.4085,565,0.34786,385,-0.3079,653,0.74746,448,-0.0802
ENSG00000244038,DDOST,27,-0.2520,3,-3.3214,38,0.33539,17,-0.9479,47,0.89326,26,-0.3266
ENSG00000117245,KIF17,2,-3.1780,3,-2.7724,22,0.26821,18,-0.1396,31,1.06999,17,-0.2347
ENSG00000189410,SH2D5,0,-5.7288,9,-2.0509,30,-0.2370,41,0.25326,54,1.00719,38,0.14928
ENSG00000127483,HP1BP3,403,1.11824,345,0.84778,108,-1.1035,296,0.58287,153,-0.5913,177,-0.2808
ENSG00000075151,EIF4G3,260,0.58704,256,0.55980,114,-0.8038,334,1.02091,154,-0.3218,138,-0.4838
ENSG00000117298,ECE1,19,-0.1662,33,0.75849,37,1.13706,22,0.09562,7,-1.8021,19,-0.1745
ENSG00000076864,RAP1GAP,19,-2.9670,37,-2.0124,145,0.08391,144,0.06820,246,1.41755,77,-0.9926
ENSG00000090686,USP48,148,1.22076,125,0.91784,41,-0.9510,94,0.42620,54,-0.5387,53,-0.5185
ENSG00000070831,CDC42,179,-0.1258,105,-0.9492,203,0.07786,183,-0.0971,263,0.67603,139,-0.5732
ENSG00000173372,C1QA,8,-1.4205,28,0.51785,55,2.20865,8,-1.4659,6,-1.9834,15,-0.4985
ENSG00000173369,C1QB,14,-1.0520,40,0.58604,77,2.25201,8,-1.7688,10,-1.7714,16,-0.8810
ENSG00000004487,KDM1A,22,-1.0342,24,-0.9071,37,-0.2671,74,0.90403,50,0.30438,43,0.02137
ENSG00000169641,LUZP1,19,-1.9515,66,-0.1206,29,-1.4638,209,1.90115,78,0.18641,62,-0.2355
ENSG00000125944,HNRNPR,207,0.88946,128,0.08802,76,-0.7980,145,0.28991,117,-0.0787,115,-0.0946
ENSG00000142676,RPL11,942,0.49089,888,0.39317,1110,0.90275,216,-1.7963,489,-0.6831,618,-0.2132
ENSG00000011007,ELOA,43,0.92103,30,0.33621,17,-0.5964,30,0.34933,18,-0.5654,26,0.11199
ENSG00000057757,PITHD1,102,-0.7750,47,-1.9275,143,-0.2873,170,0.02405,255,0.96167,155,-0.1472
ENSG00000011009,LYPLA2,7,-1.9298,8,-1.5794,18,-0.5088,30,0.33812,39,1.07442,23,-0.1028
ENSG00000117305,HMGCL,27,0.71526,5,-1.7647,18,0.08436,17,-0.0831,17,-0.0937,19,0.19973
ENSG00000189266,PNRC2,64,0.29476,21,-1.4111,60,0.20543,47,-0.2143,60,0.24371,51,-0.0717
ENSG00000188529,SRSF10,69,0.16345,78,0.35185,59,-0.1026,66,0.08930,57,-0.1792,61,-0.0363
ENSG00000001461,NIPAL3,383,1.54495,312,1.16339,156,-0.0024,174,0.17498,93,-0.9700,51,-1.8418
ENSG00000133226,SRRM1,638,1.53640,949,2.35516,111,-1.4277,267,0.03187,88,-1.9323,138,-1.0788
ENSG00000169504,CLIC4,211,2.44494,76,0.50697,113,1.45202,7,-2.9796,6,-3.5302,8,-2.9729
ENSG00000117614,SYF2,168,0.61232,163,0.55318,97,-0.3158,122,0.08463,101,-0.2766,105,-0.1815
ENSG00000117616,RSRP1,86,0.33738,104,0.64957,91,0.48711,73,0.07019,56,-0.4414,44,-0.8123
ENSG00000183726,TMEM50A,105,0.82352,36,-0.8741,58,-0.1610,51,-0.3463,60,-0.1081,74,0.26430
ENSG00000204178,MACO1,86,1.25755,54,0.47391,20,-1.1792,75,1.01608,33,-0.4181,26,-0.7340
ENSG00000117643,MAN1C1,13,-1.0856,15,-0.8843,18,-0.6600,25,-0.1393,36,0.62962,36,0.53961
ENSG00000162430,SELENON,23,-0.3963,7,-2.0440,50,0.97933,33,0.13124,21,-0.6889,37,0.39386
ENSG00000117640,MTFR1L,26,-1.3370,26,-1.3447,68,0.14490,90,0.58087,61,-0.0755,84,0.54868
ENSG00000117632,STMN1,1166,-0.2966,577,-1.3762,1192,-0.2917,1020,-0.5060,2130,0.95840,1262,-0.1929
ENSG00000158008,EXTL1,1,-5.4248,7,-2.5957,26,-0.7393,65,0.81760,56,0.77974,52,0.50200
ENSG00000142684,ZNF593,7,-2.2474,5,-2.7764,36,0.16584,23,-0.5389,49,0.94986,36,0.15881
ENSG00000142669,SH3BGRL3,130,-0.9968,132,-0.9709,249,0.01752,201,-0.3216,336,0.68442,250,0.01949
ENSG00000158062,UBXN11,2,-3.4624,5,-2.1781,13,-0.8302,27,0.39006,22,0.08433,44,1.43466
ENSG00000117682,DHDDS,9,-1.1226,2,-3.3642,19,-0.0332,23,0.30285,27,0.71544,20,0.09589
ENSG00000198830,HMGN2,284,0.70737,181,-0.0327,281,0.80993,100,-0.9457,119,-0.8330,180,-0.0430
ENSG00000117713,ARID1A,87,0.49738,87,0.49848,62,-0.0490,98,0.69925,44,-0.7245,56,-0.2336
ENSG00000204160,ZDHHC18,8,-1.3639,11,-0.8233,28,0.66830,29,0.62885,23,0.33185,11,-0.8995
ENSG00000142751,GPN2,16,-0.3082,18,-0.0724,25,0.48010,19,-0.0143,19,0.03382,15,-0.3979
ENSG00000090273,NUDC,155,-0.8054,176,-0.6043,296,0.24574,217,-0.2820,292,0.25138,287,0.19013
ENSG00000253368,TRNP1,5,-3.3132,13,-1.9523,36,-0.4808,36,-0.4498,77,1.11949,61,0.42815
ENSG00000090020,SLC9A1,0,-4.8639,6,-1.0823,8,-0.8718,14,0.14537,21,1.04500,16,0.39506
ENSG00000142784,WDTC1,20,-0.4827,11,-1.3494,32,0.29121,44,0.78179,25,-0.1829,30,0.13891
ENSG00000186501,TMEM222,57,0.00441,12,-2.3587,87,0.81281,60,0.08674,55,-0.0809,51,-0.1927
ENSG00000158195,WASF2,226,2.17284,147,1.31206,70,0.05317,52,-0.3987,13,-2.7553,36,-1.0669
ENSG00000126705,AHDC1,13,-1.6493,19,-1.1296,39,-0.0216,77,1.11234,49,0.48035,30,-0.4801
ENSG00000126709,IFI6,43,-1.3908,84,-0.3667,165,0.84300,108,0.02354,127,0.37737,59,-0.9969
ENSG00000009780,FAM76A,25,0.26328,15,-0.4687,15,-0.5193,33,0.72086,23,0.15715,19,-0.1744
ENSG00000117758,STX12,76,-0.6000,68,-0.7653,116,0.07992,111,0.00339,140,0.50442,102,-0.1581
ENSG00000117751,PPP1R8,46,0.66278,19,-0.7428,39,0.43973,19,-0.7469,29,-0.0966,29,-0.1229
ENSG00000117748,RPA2,31,-1.0781,22,-1.6095,60,-0.0828,67,0.10792,89,0.79163,60,-0.0819
ENSG00000126698,DNAJC8,290,0.52333,242,0.22926,100,-1.2459,206,-0.0334,196,-0.1445,289,0.59694
ENSG00000130770,ATP5IF1,203,-1.7349,199,-1.7652,463,-0.5352,204,-1.7289,999,1.08157,885,0.64360
ENSG00000204138,PHACTR4,109,1.93591,117,2.07763,28,-0.4222,33,-0.1255,8,-2.5137,11,-1.8959
ENSG00000180098,TRNAU1AP,38,0.80130,17,-0.5044,24,0.05113,13,-0.8341,27,0.30731,18,-0.4554
ENSG00000198492,YTHDF2,57,-0.2840,27,-1.4173,37,-1.0179,110,0.79855,80,0.35574,85,0.41815
ENSG00000116350,SRSF4,108,0.60818,147,1.14062,57,-0.4699,71,-0.0739,57,-0.5268,67,-0.1802
ENSG00000116353,MECR,11,-1.9102,11,-1.9051,38,-0.1024,30,-0.4408,53,0.61137,56,0.65352
ENSG00000162511,LAPTM5,31,0.34106,28,0.17360,56,1.66845,7,-1.8967,10,-1.5883,21,-0.3004
ENSG00000162512,SDC3,31,-1.4243,39,-1.0805,149,1.30387,101,0.41662,54,-0.7075,75,-0.0766
ENSG00000134644,PUM1,82,-0.6093,109,-0.1683,100,-0.3354,250,1.22778,130,0.15897,88,-0.5409
ENSG00000121766,ZCCHC17,142,-0.3477,186,0.07240,136,-0.4651,195,0.15049,182,0.05432,217,0.36854
ENSG00000121769,FABP3,18,-2.7150,18,-2.6746,68,-0.8188,59,-0.9611,218,1.78117,106,-0.0686
ENSG00000162517,PEF1,32,-1.2341,20,-1.9302,70,-0.0355,64,-0.1687,95,0.62762,87,0.35409
ENSG00000084636,COL16A1,88,0.67216,40,-0.5722,92,0.86890,69,0.27316,45,-0.4927,33,-0.9475
ENSG00000121753,ADGRB2,43,-2.3734,39,-2.5070,138,-0.6772,277,0.49578,303,0.90236,250,0.37169
ENSG00000184007,PTP4A2,1342,1.84708,1475,2.04110,424,-0.1832,226,-1.1337,181,-1.7067,131,-2.0774
ENSG00000121774,KHDRBS1,148,0.29549,117,-0.0872,137,0.18844,158,0.39985,106,-0.2998,109,-0.2121
ENSG00000025800,KPNA6,98,0.19265,89,0.04821,50,-0.9393,152,0.93692,85,-0.0511,87,0.00835
ENSG00000084652,TXLNA,45,0.76428,26,-0.1296,35,0.36675,43,0.68088,22,-0.5131,17,-0.8322
ENSG00000160050,CCDC28B,3,-2.7928,16,-0.4468,25,0.35434,9,-1.2524,13,-0.8112,45,1.56863
ENSG00000084623,EIF3I,69,-0.3712,28,-1.6986,93,0.11209,92,0.09080,107,0.44270,87,0.01064
ENSG00000175130,MARCKSL1,981,2.19007,369,0.38294,389,0.54291,77,-2.0239,88,-2.1046,222,-0.4709
ENSG00000160058,BSDC1,71,0.29405,30,-1.0366,57,-0.0726,81,0.51113,63,0.11490,54,-0.1588
ENSG00000176261,ZBTB8OS,45,0.07062,27,-0.7521,39,-0.1803,23,-0.9660,53,0.44105,50,0.26682
ENSG00000162521,RBBP4,104,0.37635,61,-0.4582,67,-0.3593,112,0.51152,82,0.00526,81,-0.0133
ENSG00000162522,KIAA1522,0,-5.6035,6,-1.4392,9,-0.8476,10,-0.6619,18,0.44699,31,1.42695
ENSG00000134684,YARS,26,-1.9651,29,-1.8463,100,0.06202,127,0.43475,138,0.79250,87,-0.1997
ENSG00000160097,FNDC5,2,-3.2786,10,-1.0062,11,-0.9672,37,1.07419,31,1.05798,16,-0.3735
ENSG00000121905,HPCA,10,-4.1986,25,-2.8535,74,-1.3663,124,-0.4885,224,0.62509,355,1.52911
ENSG00000121900,TMEM54,37,-0.2723,38,-0.2146,55,0.40723,35,-0.3442,46,0.10823,40,-0.1593
ENSG00000004455,AK2,72,0.94856,57,0.54043,66,0.94934,20,-1.1012,18,-1.4611,35,-0.2391
ENSG00000142920,AZIN2,19,-0.5966,19,-0.6481,43,0.78438,22,-0.4005,35,0.43197,17,-0.8695
ENSG00000160094,ZNF362,6,-1.4944,13,-0.2818,17,0.11553,29,0.93962,15,-0.1797,17,0.13185
ENSG00000134686,PHC2,97,0.85189,40,-0.5788,65,0.21926,51,-0.2032,51,-0.2504,54,-0.1351
ENSG00000163866,SMIM12,16,-1.7368,13,-2.0252,44,-0.2365,56,0.17160,80,1.06063,46,-0.1595
ENSG00000116544,DLGAP3,1,-4.7699,1,-5.0882,34,-0.2015,59,0.71733,33,-0.2648,75,1.39539
ENSG00000163867,ZMYM6,21,0.16644,6,-1.7849,19,-0.0161,23,0.30545,18,-0.1191,24,0.46080
ENSG00000116560,SFPQ,424,0.95271,522,1.32733,215,-0.1906,206,-0.2356,153,-0.8542,176,-0.5318
ENSG00000146463,ZMYM4,50,0.16401,51,0.21148,37,-0.3442,79,0.92149,28,-0.8810,56,0.40066
ENSG00000142687,KIAA0319L,52,-0.5226,61,-0.2610,65,-0.1851,124,0.88930,65,-0.2174,81,0.19981
ENSG00000020129,NCDN,38,-3.7927,68,-2.9473,368,-0.4594,532,0.17130,709,0.90009,643,0.55342
ENSG00000126067,PSMB2,67,-0.5524,36,-1.4993,117,0.38737,77,-0.3323,130,0.69651,73,-0.4535
ENSG00000142686,C1orf216,7,-3.6757,16,-2.5589,80,-0.1547,115,0.45000,120,0.69543,109,0.39974
ENSG00000134698,AGO4,13,-0.4361,11,-0.7158,36,1.51110,12,-0.5883,11,-0.8531,16,-0.1479
ENSG00000092847,AGO1,38,-0.0788,48,0.30395,55,0.59536,55,0.51007,24,-0.9510,38,-0.0736
ENSG00000126070,AGO3,131,1.79868,94,1.16691,24,-1.1054,92,1.13844,21,-1.4769,20,-1.3824
ENSG00000116863,ADPRHL2,26,0.23004,15,-0.6693,25,0.18499,15,-0.6129,26,0.25597,22,-0.0747
ENSG00000054116,TRAPPC3,23,-1.0079,15,-1.6362,36,-0.3941,25,-0.8934,68,0.92733,56,0.39814
ENSG00000116871,MAP7D1,311,0.63750,157,-0.4685,214,0.02108,173,-0.3162,207,-0.0432,211,0.00247
ENSG00000054118,THRAP3,221,0.83231,254,1.07577,77,-0.9293,252,1.05538,84,-0.8768,102,-0.4775
ENSG00000196182,STK40,7,-1.4743,12,-0.6465,29,0.93265,17,-0.0790,15,-0.3097,20,0.17520
ENSG00000181817,LSM10,24,-0.7432,8,-2.3793,33,-0.2844,13,-1.6209,53,0.67379,60,0.81596
ENSG00000116885,OSCP1,2,-3.1860,2,-2.9471,18,-0.0875,12,-0.6900,28,0.89155,26,0.60806
ENSG00000116898,MRPS15,31,-1.1358,29,-1.2082,57,-0.2099,25,-1.4764,98,0.94337,77,0.32163
ENSG00000163873,GRIK3,1,-3.6324,0,-4.5436,32,0.91494,49,1.57069,23,0.37530,6,-1.9549
ENSG00000163875,MEAF6,38,-1.4671,35,-1.5648,98,0.00872,120,0.32473,135,0.71028,93,-0.0932
ENSG00000134697,GNL2,57,1.51493,28,0.27530,14,-0.8466,22,-0.1163,20,-0.2624,19,-0.3689
ENSG00000185090,MANEAL,3,-2.8458,6,-2.1156,13,-0.9727,31,0.40128,43,1.45739,21,-0.2053
ENSG00000197982,C1orf122,332,0.46496,152,-0.7695,326,0.50019,101,-1.3895,229,-0.1738,285,0.24537
